Time,RTibialisAnterior,RSoleus,RGastrocnemiusMedialis,RSemitendinosus,LBicepsFemoris,RRectusFemoris,RVastusLateralis,LGluteusMaximus,LTibialisAnterior,LSoleus,RBicepsFemoris,LGastrocnemiusMedialis,LSemitendinosus,LRectusFemoris,LVastusLateralis,RGluteusMaximus
0.135,0.0277936,0.0666785,0.063432,0.0588058,0.0569278,0.0789383,0.0549094,0.0852744,0.0824411,0.0442801,0.0740192,0.114664,0.0630499,0.0783029,0.074032,0.0551038
0.136,0.0573956,0.0654578,0.040849,0.0612473,0.0602847,0.0673416,0.0390402,0.0861899,0.0363596,0.045806,0.0550983,0.107035,0.0578619,0.0468698,0.070675,0.069447
0.137,0.0573956,0.067594,0.0155194,0.0676559,0.0706607,0.0609329,0.0640646,0.0633017,0.0671823,0.0644217,0.0740192,0.0994052,0.0645758,0.0392404,0.0841028,0.0535779
0.138,0.0750958,0.0666785,0.0612958,0.0621628,0.052045,0.0768021,0.0423972,0.0828329,0.0436838,0.0488577,0.0370929,0.0917758,0.0609137,0.0557199,0.0859338,0.0560193
0.139,0.0674664,0.0630164,0.0704511,0.0398849,0.0596744,0.0737503,0.0674216,0.0773398,0.0571115,0.0577078,0.0505206,0.0908603,0.0743414,0.0673166,0.0630457,0.0544934
0.14,0.0638043,0.0758337,0.0554974,0.0578903,0.0319034,0.0932816,0.0622336,0.084664,0.0503976,0.0821219,0.0334308,0.0636996,0.066712,0.0404611,0.0279504,0.0691418
0.141,0.0671613,0.0846838,0.0381024,0.0459885,0.0370914,0.0554398,0.0692526,0.091683,0.0732858,0.0619803,0.0657794,0.0722446,0.0734259,0.0392404,0.0291711,0.0554089
0.142,0.0912701,0.0804114,0.073808,0.0459885,0.0456363,0.0713089,0.0723044,0.0773398,0.0473459,0.00704865,0.0444171,0.0377597,0.0657965,0.0700632,0.0303918,0.0477795
0.143,0.0622784,0.0550818,0.0448163,0.0560593,0.039838,0.0554398,0.0298849,0.0825278,0.0546701,0.0104056,0.0532672,0.0603427,0.0603033,0.0740305,0.051449,0.0978284
0.144,0.0604474,0.074613,0.0918134,0.0679611,0.0511295,0.0899246,0.0607077,0.0803915,0.068403,0.00521759,0.0596759,0.0847568,0.0551154,0.0499216,0.0453455,0.0599866
