Time,RTibialisAnterior,RSoleus,LGastrocnemiusMedialis,RBicepsFemoris,RSemitendinosus,RRectusFemoris,LVastusLateralis,LGluteusMaximus,RVastusLateralis,RGluteusMaximus,LTibialisAnterior,LSoleus,RGastrocnemiusMedialis,LBicepsFemoris,LSemitendinosus,LRectusFemoris
0.124,0.0290143,0.0785803,0.0420697,-0.00222931,0.0480777,0.0508621,0.0448386,-0.0847086,0.237776,-0.0259103,-0.111223,0.0484409,0.042298,0.0761667,0.0380212,-0.0242419
0.125,0.00704163,0.0465369,0.0551923,-0.0123001,0.0584537,0.0612381,0.0808493,-0.0825723,0.327192,-0.0234689,-0.0675824,0.052103,0.0572516,0.0499216,0.048092,0.00230835
0.126,0.0522076,0.0492834,0.0475629,-0.0599075,0.052045,0.0649002,0.0927512,-0.0746378,0.290571,-0.0265207,0.22386,0.0505771,0.0581671,0.0508371,0.0517542,0.0221448
0.127,0.0808942,0.0569128,0.0509198,-0.0934769,0.0544864,0.0475052,0.100991,-0.081962,0.220075,-0.0024118,0.289168,0.052103,0.0621344,0.0700632,0.0477869,0.0322156
0.128,0.106529,0.0471472,0.0475629,-0.0562454,0.057233,0.0377396,0.10862,-0.0703653,0.109602,-0.00637909,0.154586,0.0392856,0.0395514,0.0691476,0.0398523,0.0291638
0.129,0.0674664,0.0538611,0.0603803,-0.0171829,0.0627261,0.045369,0.0771872,-0.0789102,0.0156076,0.012847,0.0727985,0.0499667,0.0566412,0.0581613,0.0490076,0.0395398
0.13,0.0634991,0.0508093,0.0753339,0.00814667,0.0563174,0.0362137,0.0637595,-0.0578531,-0.0701468,0.0274954,0.0264117,0.0560703,0.0511481,0.0654855,0.0425989,0.0236707
0.131,0.0677716,0.069425,0.0194867,0.0499557,0.0456363,0.0325516,0.0576559,-0.0703653,-0.163225,0.0494681,-0.00929382,0.0463046,0.0331427,0.0221506,0.0602991,0.0230603
0.132,0.040611,0.0785803,0.0570233,0.0853561,0.0486881,0.0356033,0.052468,-0.0773843,-0.169634,0.0766287,0.0102374,0.0484409,0.038941,0.062739,0.0422937,0.0245862
0.133,0.0680768,0.0907874,0.0542767,0.0691818,0.0721866,0.0264481,0.0814597,-0.0657877,-0.136065,0.0601492,-0.0324872,0.0432529,0.0630499,0.057551,0.0435144,0.0142102
